"index","id","roblox_assetid","roblox_rap","roblox_value","robux_volume_30d_total","popularity_position","is_valued","is_rare","is_projected","roblox_name","roblox_acronym","roblox_lowestprice","price_updated_at","went_limited_at"
86,83,25740034,342574,950000,0,485,true,true,false,"Sword Cane","SC",3999999,2023-08-04 19:21:35.496,2010-04-17 17:29:10.467
87,115,1323384,672975,950000,1250000,2380,true,true,false,"The Ice Crown","IC",3111111,2023-08-04 21:24:00.752,2009-10-05 17:05:30.000
88,124,398676450,511979,850000,0,121,true,true,false,"Green Glowing Eyes","GGE",1300000,2023-08-05 04:06:19.247,2016-04-15 00:30:47.670
89,58,63692675,228572,850000,0,521,true,true,false,"Hooded Spacelord","HSL",9.88888888888e+11,2023-07-12 17:44:35.716,2011-10-14 19:01:44.697
90,163,416846000,630474,800000,0,1492,true,true,false,"Yellow Glowing Eyes","YGE",700000,2023-08-07 00:50:25.526,2016-05-20 00:41:35.657
91,82,94794774,297662,800000,0,2290,true,true,false,"Crescendo, The Soul Stealer","Cres",4000000,2023-07-13 22:17:35.707,2009-10-05 17:08:00.000
92,19773,382881373,1825361,800000,0,2352,true,true,false,"Tix Shaggy","Taggy",1450000,2023-08-01 02:59:06.075,2022-07-05 09:53:50.000
93,54,24487029,256481,800000,0,922,true,true,false,"Chrysophylax","Chryso",14999998,2023-07-29 20:45:18.348,2010-03-26 23:48:11.013
94,57,26769281,149455,750000,0,69,true,true,false,"Masked Hood of the Doomspeaker","DS",9.88888888888e+11,2023-04-05 00:03:13.669,2010-05-07 22:56:21.743
95,182,114385498,41022,750000,0,931,true,true,false,"Redspybot","RSB",2999999,2023-07-23 00:43:28.141,2013-06-01 05:00:00.000
96,204,315549204,498704,750000,900000,1772,true,true,false,"WC Ultimates: Pink Diamond Distraction","PDD",1000000,2023-08-06 10:14:54.268,2017-01-14 06:00:00.000
97,237,1340199684,403539,750000,0,866,true,true,false,"Duke of the Fallen Federation","DotFF",1000000,2023-07-21 20:54:33.348,2018-02-18 06:00:00.000
98,59,140484519,10174,750000,0,255,true,true,false,"Steampunk Bobbie","Bobbie",1500000,2023-07-20 03:50:03.290,2014-02-02 06:00:00.000
99,56,99130630,737737,737737,0,1235,false,true,false,"TheAmazeman's ROBLOX Tablet","",0,2023-07-03 23:57:34.823,2012-11-29 00:12:07.220
100,2092,25308781,240524,700000,0,1507,true,true,false,"Chronoterminus: the Epochalypse Helm","Chronold",42889910,2023-06-22 05:15:01.980,2010-04-09 20:43:38.983
101,90,445115703,364568,700000,0,518,true,true,false,"Goldlika: Patriot","Patriot",1750000,2023-07-18 21:48:03.581,2017-09-03 05:00:00.000
102,81,62720797,114684,700000,0,52,true,true,false,"Gold Spartan","GS",0,2023-08-01 14:49:32.089,2011-09-29 18:50:58.807
103,134,12908119,150000,700000,0,2010,true,true,false,"Steampunk Aetherspectacles","SA",10000000,2023-08-01 20:47:27.530,2009-11-28 06:00:00.000
104,248,215718515,713204,660000,2082999,2413,true,false,false,"Fiery Horns of the Netherworld","Fiery",800000,2023-08-07 12:32:55.673,2016-09-03 05:00:00.000
105,119,27477255,145968,650000,0,1717,true,true,false,"Red Balloon","RB",3333332,2023-07-28 07:08:00.547,2010-05-21 19:55:53.070
106,19670,4390900302,601511,650000,0,1784,true,true,false,"Viscountess of the Federation","VcotF",1099990,2023-08-06 16:21:25.489,2019-12-01 06:00:00.000
107,198,583635712,398564,650000,0,852,true,true,false,"CW Ultimate: Ruby Rapture","Ruby",950000,2023-07-31 02:17:42.218,2018-09-01 05:00:00.000
108,74,14462955,243029,650000,0,886,true,true,false,"Cultural Item","CI",2499999,2023-07-29 20:45:18.120,2011-04-08 05:00:00.000
109,177,71499623,555808,640000,724162,2351,true,false,false,"Dark Horns of Pwnage","DHoP",700000,2023-08-06 14:44:47.218,2012-02-07 06:00:00.000
110,194,183468963,682215,630000,0,2390,true,false,false,"Ghosdeeri","Ghos",899988,2023-08-07 06:18:10.173,2016-11-25 06:00:00.000
111,113,16598513,427039,600000,0,764,true,true,false,"Green Bow Tie","GBTie",7777777,2023-08-07 06:01:57.421,2009-10-05 17:00:00.000
112,139,97852103,67722,600000,0,2096,true,true,false,"Peach Thug Shades","PTS",0,2023-07-05 01:11:27.487,2012-11-16 01:58:01.730
